id,timestamp,claim,indicator,verdict,assessment,source
C01,9:10–9:24; 29:43–29:51,"63% live pay cheque to pay cheque, lack emergency savings, or have less than $500.",Household resilience,Definition mismatch,These are different measures. SHED reports 63% could meet a $400 expense with cash or equivalent in 2025. The transcript’s original survey is unidentified.,fed_def
C02,9:16–9:24,Prices are rising faster than wages.,Real wages,Testable; country and period needed,Use matched WPI and CPI indexes and calculate their ratio; include household living-cost indexes.,abs_prices
C03,10:33–12:40; 28:34–28:45,"Government involvement causes higher education, health and housing costs.",Service prices and public funding,Causal claim unproven here,"Compare demand subsidies with supply policy, staffing intensity, quality and demographics; co-movement alone cannot isolate causation.",housing
C04,11:20–11:34,University administrative staff rose from 10% to 60% over 30 years.,University workforce mix,Unverified,"Need original classification, institution coverage and denominator. US NCES/IPEDS and Australian Department of Education higher-education staff collections are candidate sources.",
C05,12:59–15:05; 26:21–26:32,Success should mean 2% a year moving from labour dependence to capital independence.,Asset ownership and income mobility,Normative target; custom metric,"Define accessible assets, sustainable after-tax income and household essential spending. Superannuation access limits matter. No standard OECD transition series identified.",wealth
C06,14:16–14:24; 18:00–18:32,10% annual returns illustrate financial freedom and rapid compounding.,Investment compounding,"Illustration, not a forecast","A tenfold increase at 10% takes about 24.2 years before taxes, fees and withdrawals. Average market returns are not guaranteed retirement income.",
C07,16:20–17:05,"Debt is paid through money creation, explaining inflation.","Debt, monetary financing and CPI",Mechanism oversimplified,"Separate bond issuance, central-bank purchases, private credit, demand, supply shocks and monetary-policy response.",money
C08,17:26–17:50; 35:44–35:59,"Close to half of Americans are government employees, contractors or pension recipients.",Employment and government income exposure,Mixed populations; not an employment rate,"Employees, beneficiaries and contractors overlap. Count unique people for income exposure; use employed people as denominator for employment shares.",sector
C09,18:32–18:59; 21:28–22:10,"Labour is taxed more heavily than capital, and asset-backed borrowing avoids realisation.",Effective tax burdens,Testable policy proposition,"Compare effective lifetime tax wedges; account for company tax, imputation, inflation, realisation timing and superannuation. Borrowing creates a liability, not net wealth.",
C10,25:13–25:32,California’s top 1% pays 40–50% of personal income tax.,Tax concentration,Unverified in this edition,Use California Franchise Tax Board tables for the same year; do not substitute all government revenue for personal income tax.,
C11,25:51–26:13,France lost more revenue from wealth-tax migration than the tax raised.,Tax migration effects,Causal claim unverified,"Require French official reform evaluations, defined time period and counterfactual; distinguish migration from asset repricing.",
C12,26:40–29:10,Housing wealth growth reduces access for subsequent buyers.,Housing affordability,Testable distributional question,"Use housing prices, rent, income, mortgage rates and tenure by age; total owner returns must include costs and imputed rent.",housing
C13,29:10–29:32,40–45 million Americans graduated over ten years and face debt and difficult jobs.,Education debt and graduate outcomes,Unverified,Count people rather than qualifications; US Education/NCES and Australian Education/ATO collections need consistent cohorts.,
C14,32:02–32:45,"China’s GDP per person grew from roughly 3,000 to 30,000 due to market freedom.",Real GDP per capita,Units and dates unspecified,Establish currency and PPP/price basis before checking growth; China is outside the OECD membership cohort.,members
C15,37:53–40:00,Inequality is necessary for progress.,Innovation and distribution,Hypothesis; not established identity,"Compare productivity and median income with wealth shares, business formation and R&D. Test competing explanations.",wealth
C16,40:08–43:09,Career politicians and election cycles encourage excess spending.,Parliamentary careers and fiscal incentives,Hypothesis; descriptive data cannot prove it,Code employment spells and tenure; test policy outcomes separately. Career background is not a competence score.,aph
C17,43:23–46:36,Denmark offers security but little entrepreneurship or opportunity to progress.,"Innovation, mobility and welfare",Overstated binary,Statistics Denmark publishes business births and high-growth enterprise statistics. Compare innovation and distribution separately; avoid equating social insurance with central planning.,denmark
C18,48:46–49:14,High spending and taxes reduce UK productivity.,Productivity and fiscal settings,Causal hypothesis,"Control for investment, industry mix, skills, trade and demographics; allow public infrastructure and health to improve capacity.",oecd_p
C19,52:58–53:05; 1:02:50–1:02:57; 1:15:50–1:16:38,AI improves output per hour; early-career employment may fall despite low aggregate unemployment.,"AI adoption, productivity and jobs",Competing hypotheses,"Track hours, real pay, vacancies and age/occupation employment. The cited 13% estimate requires its underlying Stanford study and data; it is not a national unemployment rate.",
C20,1:29:44–1:29:52,Public jobs may create less value than their wages.,Non-market productivity,Illustration; not measured result,Measured output and social benefit differ. Do not infer unproductive work from public funding.,sector
C21,1:31:59–1:32:52,US wealth totals $183tn; billionaires $8tn; $50m+ households $23tn; bottom half $6tn.,Wealth distribution and fiscal scale,Unverified snapshot,"Check dates, households versus people, market valuation and overlapping groups. A wealth stock is not annual revenue.",wealth
C22,1:46:31–1:48:10,Public retirement arrangements are unreliable; asset ownership offers a better route.,Pension sustainability and coverage,Mixed institutional claims,"US Social Security, defined-benefit schemes and Australian superannuation are different. Compare replacement rates, funded assets, risk and access.",
C23,1:50:38–1:51:17; 2:00:06–2:00:29,Oil reserve constraints and data-centre power demand affect living costs.,Energy security and prices,Time-sensitive claims unverified,Use energy department fuel stocks and AEMO demand/capacity; separate US reserves from Australian import cover.,
C24,1:56:54–1:59:24,AI productivity gains spread to wages and jobs.,Productivity diffusion and labour share,Forecast hypothesis,"Track adoption, output per hour, labour share and real median earnings; higher profits do not automatically become higher wages.",income
